hey,hey,Hello! How may I help you.
do u have coffee,do u have coffee,"Yes sir  Simple Coffee ,Cappuchino, Americano, Au Laite ,Au Laite Cappucchino ,Chans Espresso ,Con Panna, Black Coffee, Espresso, Frappe ,French Coffee ,Iced Coffee Late ,Irish Coffee, Latte Macchiato and  Wainans Choco Coffee.What would u like to have?"
i will take one espresso and 5 americano,i will take one espresso and 5 americano,Sir thanks for your order. You have ordered 1 espresso and 5 americano.Please wait for sometime.
anything special,anything special,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
 suggest something, suggest something,"We have coffe,pastries,puff pastries and milkshakes.What would you like to have?"
"do You have Coffee Cappuchino, Americano, Au Laite Au Laite, Cappucchino, Chans Espresso, Con Panna, Black Coffee ,Espresso ,Frappe, French Coffee ,Iced Coffee, Late ,Irish Coffee ,Latte Macchiato ,Wainans Choco Coffee","do You have Coffee Cappuchino, Americano, Au Laite Au Laite, Cappucchino, Chans Espresso, Con Panna, Black Coffee ,Espresso ,Frappe, French Coffee ,Iced Coffee, Late ,Irish Coffee ,Latte Macchiato ,Wainans Choco Coffee",Yes we have your choice in our cafe.
"Do You have Coffee Cappuchino, Americano, Au Laite Au Laite, Cappucchino, Chans Espresso, Con Panna, Black Coffee ,Espresso ,Frappe, French Coffee ,Iced Coffee, Late ,Irish Coffee ,Latte Macchiato ,Wainans Choco Coffee","Do You have Coffee Cappuchino, Americano, Au Laite Au Laite, Cappucchino, Chans Espresso, Con Panna, Black Coffee ,Espresso ,Frappe, French Coffee ,Iced Coffee, Late ,Irish Coffee ,Latte Macchiato ,Wainans Choco Coffee",Yes we have your choice in our cafe.
"do u have Coffee Cappuchino, Americano, Au Laite Au Laite, Cappucchino, Chans Espresso, Con Panna, Black Coffee ,Espresso ,Frappe, French Coffee ,Iced Coffee, Late ,Irish Coffee ,Latte Macchiato ,Wainans Choco Coffee","do u have Coffee Cappuchino, Americano, Au Laite Au Laite, Cappucchino, Chans Espresso, Con Panna, Black Coffee ,Espresso ,Frappe, French Coffee ,Iced Coffee, Late ,Irish Coffee ,Latte Macchiato ,Wainans Choco Coffee",Yes we have your choice in our cafe.
what special do u have,what special do u have,"  Prdon please, what you want ?"
hello,hello,  Hello! How may I help you.
 what special do u have, what special do u have,"  Prdon please, what you want ?"
 what special do u have, what special do u have,"  Prdon please, what you want ?"
 what special do u have, what special do u have,"  Prdon please, what you want ?"
 do you have, do you have,"  Prdon please, what you want ?"
 do you have, do you have,"  Prdon please, what you want ?"
 do you have, do you have,"  Prdon please, what you want ?"
 do you have, do you have,"  Prdon please, what you want ?"
 do you have, do you have,"  Prdon please, what you want ?"
